LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
70,19900,1Fam,7,3,1,1,6,2000,1728,2,GasA,Y,1484,0,2006,200471.970540303
80,7259,1Fam,6,5,2,0,8,1999,880,3,GasA,Y,1125,0,2008,134729.347895015
70,8163,1Fam,6,6,1,1,9,2009,780,3,GasW,Y,796,0,2008,142126.392851442
80,10320,1Fam,6,5,1,2,5,1963,1140,3,GasA,Y,2097,0,2006,169362.12026597
65,6000,1Fam,8,5,2,0,6,1989,1107,3,GasA,Y,1301,0,2006,203272.754280259
60,14762,1Fam,6,6,1,1,7,2007,1117,2,GasA,Y,1750,0,2008,211215.143119486
65,13300,1Fam,5,6,2,0,9,1962,780,4,GasA,Y,1767,0,2007,189719.424423716
76,6780,1Fam,5,6,2,0,5,1974,1004,2,GasA,Y,1795,0,2007,171204.956161783
86,10628,1Fam,7,7,1,0,7,1990,979,1,GasA,Y,1692,0,2008,211556.842375951
74,8405,1Fam,5,5,2,0,5,2003,729,3,GasA,Y,1573,0,2009,148360.369093286
50,7844,1Fam,6,5,1,1,8,1959,1856,3,GasA,Y,1060,0,2009,150655.575572394
72,10452,1Fam,6,5,1,0,11,1959,0,2,GasA,Y,1028,0,2010,100701.317748703
65,7500,1Fam,5,6,2,1,6,1954,1722,3,GasW,Y,1574,0,2006,154425.363520356
102,19296,1Fam,8,5,2,1,4,1954,1486,2,GasA,Y,764,0,2009,209977.633857447
99,7599,1Fam,7,6,2,2,5,2006,0,3,GasA,Y,1629,0,2007,189166.116321143
80,9084,1Fam,6,7,3,0,6,1992,1595,5,GasA,Y,2554,0,2007,184033.439318238
61,12735,1Fam,4,6,2,0,6,1977,1234,1,GasA,Y,2084,0,2009,217118.398357698
35,7200,1Fam,5,5,1,0,5,1915,1337,3,GasA,Y,2243,0,2006,148388.043117554
87,9360,1Fam,7,6,3,1,7,1934,876,3,GasA,Y,2234,648,2009,228500.267330961
70,7630,1Fam,7,5,2,0,6,1992,728,4,GasA,Y,987,0,2007,125741.925528227
81,4571,1Fam,7,5,2,0,6,1976,960,3,GasA,Y,968,0,2007,132417.505650991
61,9060,1Fam,6,7,1,1,10,2009,1013,3,GasA,Y,2087,0,2009,244541.600250048
75,8450,1Fam,6,7,2,0,8,1973,1501,6,GasA,Y,1073,0,2009,175309.803675328
88,14601,1Fam,7,5,2,0,6,1976,1008,2,GasA,Y,2646,0,2007,242108.215408704
72,6060,1Fam,7,5,1,0,8,2004,864,3,Wall,Y,1375,0,2006,204638.250590077
72,11241,2fmCon,6,6,2,0,5,1957,1200,3,Grav,Y,1396,0,2006,146721.55347598
50,10159,1Fam,6,5,1,1,6,1945,1502,3,GasA,Y,2320,0,2007,156779.548071537
57,7259,1Fam,5,6,2,0,7,1977,1226,2,GasW,Y,1905,0,2006,151683.057546366
60,6000,1Fam,7,6,2,0,5,2007,907,3,GasA,N,1340,0,2007,214997.011985995
74,10552,TwnhsE,7,5,2,1,6,1981,1670,2,GasA,Y,1950,0,2009,227758.848299689
70,9464,1Fam,8,5,1,0,5,1976,1330,1,GasA,Y,2291,0,2008,249239.387975865
79,32668,1Fam,4,8,2,1,7,1947,264,3,GasA,Y,1316,0,2007,107779.535992069
50,10625,1Fam,9,5,2,0,4,1956,536,4,GasA,Y,720,0,2008,176285.517806038
59,10463,1Fam,6,6,1,1,7,1957,910,3,GasA,Y,2144,0,2006,161664.10160547
100,4500,Duplex,5,5,2,1,7,1982,783,4,GasA,Y,1363,0,2008,155179.197867391
122,5400,1Fam,7,5,2,1,7,2001,1720,3,GasA,Y,1362,0,2006,184904.276908348
70,14442,1Fam,9,7,2,0,6,1997,1856,2,GasA,Y,1368,0,2006,288341.422207135
98,9100,1Fam,8,6,1,1,5,1954,816,3,GasA,N,784,0,2009,143459.2597899
65,6600,1Fam,6,5,2,0,8,1983,1073,3,GasA,N,1086,0,2010,130064.364991772
65,8012,1Fam,5,6,2,0,4,1996,1063,3,GasA,Y,952,0,2006,147738.536456939
43,2522,1Fam,6,9,1,0,7,1968,1063,2,GasA,Y,2414,0,2008,204849.523051934
54,2280,1Fam,5,5,2,0,9,2008,1228,3,GasA,Y,1888,0,2008,197063.700461783
62,9600,1Fam,7,7,2,1,5,1948,1064,3,GasA,Y,1775,0,2007,208382.903879054
105,6900,Duplex,9,5,1,1,6,1928,1095,2,GasA,Y,936,0,2009,224472.214836273
80,115149,1Fam,7,5,2,1,8,2005,1800,4,GasA,Y,1367,0,2008,245240.582694538
100,14536,1Fam,7,4,2,1,9,2005,1391,3,GasA,Y,1479,0,2009,224653.941988274
45,7500,1Fam,5,8,1,1,6,2002,648,3,GasA,Y,1429,0,2008,142807.295358829
59,8068,2fmCon,7,6,2,1,3,2005,530,2,GasA,Y,2046,0,2006,205404.538149316
63,8450,1Fam,5,5,1,0,7,1941,988,3,GasA,Y,1279,0,2008,80973.9906070615
109,10480,1Fam,4,5,2,1,4,1973,813,2,GasA,Y,1344,0,2007,142756.26115058
50,13693,1Fam,5,6,1,0,5,1971,1501,3,GasA,Y,1362,0,2009,143076.594968168
66,13006,1Fam,7,8,1,1,7,1961,1610,3,GasA,Y,1602,0,2010,244663.078938783
105,10791,Twnhs,7,5,1,0,6,2003,712,3,GasA,Y,3140,0,2009,216180.302388826
75,7875,1Fam,5,8,2,1,6,2005,1595,2,GasA,Y,1425,0,2008,202210.437277185
50,8400,TwnhsE,6,7,1,0,7,1995,1232,2,GasA,Y,1208,0,2006,190516.999049216
60,12400,1Fam,5,6,1,0,4,1920,864,3,GasA,Y,1235,0,2006,119630.92739125
65,13000,1Fam,4,5,2,0,6,2003,784,3,GasA,Y,747,0,2010,103208.334729516
85,15593,Twnhs,6,5,1,1,5,2003,924,3,GasA,Y,803,0,2009,154562.01103366
74,8123,1Fam,6,7,1,1,6,1953,1126,3,GasA,Y,1969,0,2009,192889.879358781
37,10593,1Fam,5,5,2,0,7,2006,625,2,GasA,Y,1140,0,2010,165972.439956663
65,12456,1Fam,5,6,1,1,6,2008,912,3,GasA,Y,1389,0,2007,160430.536630926
